LastName;FirstName;UserName;Password;Email;Status;
王;强;HBXY001;123;wangq@yahoo.com;user;
李;刚;HBXY002;123;lig@yahoo.com;user;
王;林;HBXY003;123;wangl@yahoo.com;user;
朱;强;HBXY004;123;zhuq@tom.com;user;
彰;武;HBXY005;123;zhangw@tom.com;user;
刘;发;HBXY006;123;liuf@tom.com;user;
戴;荣;HBXY007;123;dair@qq.com;user;
张;强;HBXY008;123;zhangq@qq.com;user;
王;宝强;HBXY009;123;wbq@qq.com;user;
王;荣;HBXY010;123;wr@qq.com;user;
谢;婷婷;HBXY011;123;xtt@sina.com;user;
赵;怀志;HBXY012;123;zhz@sina.com;user;
刘;德法;HBXY013;123;ldf@sina.com;user;
刘;亦菲;HBXY014;123;lyf@sina.com;user;
买;红妹;HBXY015;123;mhm@sina.com;user;
谭;强;HBXY016;123;tq@sina.com;user;
王;发;HBXY017;123;wf@sina.com;user;
赵;强;HBXY018;123;zq@sina.com;user;
李;强;HBXY019;123;lq@sina.com;user;
肖;强;HBXY020;123;xq@sina.com;user;
胡;强;HBXY021;123;hq@sina.com;user;
章;强;HBXY022;123;zq@sina.com;user;
王;五;HBXY023;123;ww@sina.com;user;
王;志文;HBXY024;123;wzw@sina.com;user;
王;刚;HBXY025;123;wangg@sina.com;user;
王;耀华;HBXY026;123;wangyh@126.com;user;
王;华;HBXY027;123;wh@126.com;user;
马;蓉;HBXY028;123;mr@126.com;user;
李;丽;HBXY029;123;ll@163.com;user;
刘;祖典;HBXY030;123;lzd@163.com;user;
